Face,M20015,8,20815,0,Eye of the Lion (White)
Face,M20025,8,20825,0,Edge of Emotion (White)
Face,M20027,8,20827,0,Pensive Look (White)
Face,M20029,8,20829,0,Shade of Cool (White)
Face,M20030,0,20030,0,Arrogant Face (Black)
Face,M20030,1,20130,0,Arrogant Face (Blue)
Face,M20030,2,20230,0,Arrogant Face (Red)
Face,M20030,3,20330,0,Arrogant Face (Green)
Face,M20030,4,20430,0,Arrogant Face (Hazel)
Face,M20030,5,20530,0,Arrogant Face (Sapphire)
Face,M20030,6,20630,0,Arrogant Face (Violet)
Face,M20030,7,20730,0,Arrogant Face (Amethyst)
Face,M20030,8,20830,0,Arrogant Face (White)
Face,M20031,8,20831,0,Fearful Glance (White)
Face,M20032,8,20832,0,Compassionate Face (White)
Face,M20033,0,20033,0,Innocent Gaze (Black)
Face,M20033,1,20133,0,Innocent Gaze (Blue)
Face,M20033,2,20233,0,Innocent Gaze (Red)
Face,M20033,3,20333,0,Innocent Gaze (Green)
Face,M20033,4,20433,0,Innocent Gaze (Brown)
Face,M20033,5,20533,0,Innocent Gaze (Sapphire)
Face,M20033,6,20633,0,Innocent Gaze (Purple)
Face,M20033,7,20733,0,Innocent Gaze (Violet)
Face,M20033,8,20833,0,Innocent Gaze (White)
Face,M20035,0,20035,0,Distant Gaze (Black)
Face,M20035,1,20135,0,Distant Gaze (Blue)
Face,M20035,2,20235,0,Distant Gaze (Red)
Face,M20035,3,20335,0,Distant Gaze (Green)
Face,M20035,4,20435,0,Distant Gaze (Hazel)
Face,M20035,5,20535,0,Distant Gaze (Sapphire)
Face,M20035,6,20635,0,Distant Gaze (Violet)
Face,M20035,7,20735,0,Distant Gaze (Amethyst)
Face,M20035,8,20835,0,Distant Gaze (White)
Face,M20036,0,20036,0,Male Aran Face (Black)
Face,M20036,1,20136,0,Male Aran Face (Blue)
Face,M20036,2,20236,0,Male Aran Face (Red)
Face,M20036,3,20336,0,Male Aran Face (Green)
Face,M20036,4,20436,0,Male Aran Face (Hazel)
Face,M20036,5,20536,0,Male Aran Face (Sapphire)
Face,M20036,6,20636,0,Male Aran Face (Violet)
Face,M20036,7,20736,0,Male Aran Face (Amehtyst)
Face,M20036,8,20836,0,Male Aran Face (White)
Face,M20037,0,20037,0,Male Evan Face (Black)
Face,M20037,1,20137,0,Male Evan Face (Blue)
Face,M20037,2,20237,0,Male Evan Face (Red)
Face,M20037,3,20337,0,Male Evan Face (Green)
Face,M20037,4,20437,0,Male Evan Face (Hazel)
Face,M20037,5,20537,0,Male Evan Face (Sapphire)
Face,M20037,6,20637,0,Male Evan Face (Violet)
Face,M20037,7,20737,0,Male Evan Face (Amethyst)
Face,M20037,8,20837,0,Male Evan Face (White)
Face,M20038,0,20038,0,Marble Eyes (Black)
Face,M20038,1,20138,0,Marble Eyes (Blue)
Face,M20038,2,20238,0,Marble Eyes (Red)
Face,M20038,3,20338,0,Marble Eyes (Green)
Face,M20038,4,20438,0,Marble Eyes (Hazel)
Face,M20038,5,20538,0,Marble Eyes (Sapphire)
Face,M20038,6,20638,0,Marble Eyes (Violet)
Face,M20038,7,20738,0,Marble Eyes (Amethyst)
Face,M20038,8,20838,0,Marble Eyes (White)
Face,M20039,0,20039,0,Face 20039
Face,M20039,1,20139,0,Face 20139
Face,M20039,2,20239,0,Face 20239
Face,M20039,3,20339,0,Face 20339
Face,M20039,4,20439,0,Face 20439
Face,M20039,5,20539,0,Face 20539
Face,M20039,6,20639,0,Face 20639
Face,M20039,7,20739,0,Face 20739
Face,M20039,8,20839,0,Face 20839
Face,M20040,0,20040,0,Piercing Gaze (Black)
Face,M20040,1,20140,0,Piercing Gaze (Blue)
Face,M20040,2,20240,0,Piercing Gaze (Red)
Face,M20040,3,20340,0,Piercing Gaze (Green)
Face,M20040,4,20440,0,Piercing Gaze (Hazel)
Face,M20040,5,20540,0,Piercing Gaze (Sapphire)
Face,M20040,6,20640,0,Piercing Gaze (Violet)
Face,M20040,7,20740,0,Piercing Gaze (Amethyst)
Face,M20040,8,20840,0,Piercing Gaze (White)
Face,M20041,1,20141,0,Face 20141
Face,M20041,2,20241,0,Face 20241
Face,M20041,3,20341,0,Face 20341
Face,M20042,1,20142,0,Android Face (Blue)
Face,M20042,2,20242,0,Android Face (Red)
Face,M20042,3,20342,0,Android Face (Green)
Face,M20043,0,20043,0,Mysterious Face (Black)
Face,M20043,1,20143,0,Mysterious Face (Blue)
Face,M20043,2,20243,0,Mysterious Face (Red)
Face,M20043,3,20343,0,Mysterious Face (Green)
Face,M20043,4,20443,0,Mysterious Face (Hazel)
Face,M20043,5,20543,0,Mysterious Face (Sapphire)
Face,M20043,6,20643,0,Mysterious Face (Violet)
Face,M20043,7,20743,0,Mysterious Face (Amethyst)
Face,M20043,8,20843,0,Mysterious Face (White)
Face,M20044,0,20044,0,Bright Eyes (Black)
Face,M20044,1,20144,0,Bright Eyes (Blue)
Face,M20044,2,20244,0,Bright Eyes (Red)
Face,M20044,3,20344,0,Bright Eyes (Green)
Face,M20044,4,20444,0,Bright Eyes (Hazel)
Face,M20044,5,20544,0,Bright Eyes (Sapphire)
Face,M20044,6,20644,0,Bright Eyes (Violet)
Face,M20044,7,20744,0,Bright Eyes (Amethyst)
Face,M20044,8,20844,0,Bright Eyes (White)
Face,M20045,0,20045,0,Bad Mood Look (Black)
Face,M20045,1,20145,0,Bad Mood Look (Blue)
Face,M20045,2,20245,0,Bad Mood Look (Red)
Face,M20045,3,20345,0,Bad Mood Look (Green)
Face,M20045,4,20445,0,Bad Mood Look (Hazel)
Face,M20045,5,20545,0,Bad Mood Look (Sapphire)
Face,M20045,6,20645,0,Bad Mood Look (Violet)
Face,M20045,7,20745,0,Bad Mood Look (Amethyst)
Face,M20045,8,20845,0,Bad Mood Look (White)
Face,M20046,0,20046,0,Puppy Eyes Face (Black)
Face,M20046,1,20146,0,Puppy Eyes Face (Blue)
Face,M20046,2,20246,0,Puppy Eyes Face (Red)
Face,M20046,3,20346,0,Puppy Eyes Face (Green)
Face,M20046,4,20446,0,Puppy Eyes Face (Hazel)
Face,M20046,5,20546,0,Puppy Eyes Face (Sapphire)
